2023-12-24 13:43:49 | INFO | 跟单猿交易系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-24 13:44:22 | SUCCESS | 进行加仓操作，品种：SHIB-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-24 16:24:52 | SUCCESS | 进行加仓操作，品种：IOST-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-24 17:04:16 | SUCCESS | 进行平仓操作，品种:ATOM-USDT-SWAP，方向：long
2023-12-24 17:07:50 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-24 20:10:51 | WARNING | 模拟盘土狗币交易失败，品种：SSV-USDT-SWAP不在交易所模拟盘中！
2023-12-24 20:54:41 | SUCCESS | 进行加仓操作，品种：SHIB-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-24 20:55:00 | SUCCESS | 进行加仓操作，品种：SHIB-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-24 23:29:16 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-24 23:30:23 | WARNING | 模拟盘土狗币交易失败，品种：LUNC-USDT-SWAP不在交易所模拟盘中！
2023-12-25 09:22:48 | SUCCESS | 进行平仓操作，品种:SSV-USDT-SWAP，方向：long
2023-12-25 09:44:25 | WARNING | 模拟盘土狗币交易失败，品种：MEME-USDT-SWAP不在交易所模拟盘中！
2023-12-26 13:34:29 | INFO | 跟单猿交易系统启动，跟随交易员：BE9D269AE6D59DCF
2023-12-26 13:34:56 | SUCCESS | 进行开仓操作，品种：BTC-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-26 13:35:24 | SUCCESS | 进行开仓操作，品种：ETH-USDT-SWAP，金额：100.0USDT，方向：long
2023-12-26 14:05:47 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-26 14:06:05 | SUCCESS | 进行加仓操作，品种：BTC-USDT-SWAP，加仓量：100.0USDT，方向：long
2023-12-26 14:39:44 | WARNING | 手动结束跟单，ETH-USDT-SWAP已经按市价进行平仓。
2023-12-26 14:39:55 | WARNING | 手动结束跟单，BTC-USDT-SWAP已经按市价进行平仓。
2023-12-26 14:40:06 | WARNING | 手动结束跟单，IOST-USDT-SWAP已经按市价进行平仓。
2023-12-26 14:40:17 | WARNING | 手动结束跟单，SHIB-USDT-SWAP已经按市价进行平仓。
2023-12-26 14:40:21 | WARNING | 手动结束跟单，任务：265
